# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  1 07:37:32 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_massj,pl_msinij,st_mass
333,HD 164604,b,Radial Velocity,1,606.40000000,1.300000,,2.70000,
334,HD 164922,b,Radial Velocity,1,1155.00000000,2.110000,,0.36000,
335,HD 1666,b,Radial Velocity,1,270.00000000,0.940000,,6.43000,1.50
336,HD 166724,b,Radial Velocity,1,5144.00000000,5.420000,,3.53000,0.81
337,HD 167042,b,Radial Velocity,1,420.77000000,1.320000,,1.70000,1.50
338,HD 168443,b,Radial Velocity,2,58.11247000,0.293100,,7.65900,0.99
339,HD 168443,c,Radial Velocity,2,1749.83000000,2.837300,,17.19300,0.99
340,HD 168746,b,Radial Velocity,1,6.40400000,0.065900,,0.24800,0.93
341,HD 1690,b,Radial Velocity,1,533.00000000,1.300000,,6.10000,
342,HD 169830,b,Radial Velocity,2,225.62000000,0.810000,,2.88000,1.40
343,HD 169830,c,Radial Velocity,2,2102.00000000,3.600000,,4.04000,1.40
344,HD 170469,b,Radial Velocity,1,1145.00000000,2.100000,,0.67000,1.14
345,HD 17092,b,Radial Velocity,1,359.90000000,,,4.60000,2.30
346,HD 171028,b,Radial Velocity,1,550.00000000,1.320000,,1.98000,0.99
347,HD 171238,b,Radial Velocity,1,1523.00000000,2.540000,,2.60000,0.94
348,HD 17156,b,Radial Velocity,1,21.21663000,0.161400,3.22000,,1.24
349,HD 173416,b,Radial Velocity,1,323.60000000,1.160000,,2.70000,2.00
350,HD 175167,b,Radial Velocity,1,1290.00000000,2.400000,,7.80000,
351,HD 175541,b,Radial Velocity,1,297.30000000,1.030000,,0.61000,1.65
352,HD 177830,b,Radial Velocity,2,406.60000000,1.221800,,1.49000,1.47
353,HD 177830,c,Radial Velocity,2,110.90000000,0.513700,,0.15000,1.47
354,HD 178911 B,b,Radial Velocity,1,71.48400000,0.339000,,7.03000,
355,HD 179079,b,Radial Velocity,1,14.47600000,0.121600,,0.08660,1.15
356,HD 179949,b,Radial Velocity,1,3.09251400,0.044300,,0.91600,1.21
357,HD 180314,b,Radial Velocity,1,396.03000000,1.400000,,22.00000,2.60
358,HD 180902,b,Radial Velocity,1,479.00000000,1.390000,,1.60000,1.52
359,HD 181342,b,Radial Velocity,1,663.00000000,1.780000,,3.30000,1.84
360,HD 181433,b,Radial Velocity,3,9.37430000,0.080000,,0.02400,0.78
361,HD 181433,c,Radial Velocity,3,962.00000000,1.760000,,0.64000,0.78
362,HD 181433,d,Radial Velocity,3,2172.00000000,3.000000,,0.54000,0.78
363,HD 181720,b,Radial Velocity,1,956.00000000,1.780000,,0.37000,0.92
364,HD 183263,b,Radial Velocity,2,626.50000000,1.510000,,3.67000,1.17
365,HD 183263,c,Radial Velocity,2,3070.00000000,4.350000,,3.57000,1.17
366,HD 185269,b,Radial Velocity,1,6.83800000,0.077000,,0.94000,1.28
367,HD 187085,b,Radial Velocity,1,986.00000000,2.050000,,0.75000,1.22
368,HD 187123,b,Radial Velocity,2,3.09658280,0.042600,,0.52300,1.00
369,HD 187123,c,Radial Velocity,2,3810.00000000,4.890000,,1.99000,1.00
370,HD 18742,b,Radial Velocity,1,772.00000000,1.920000,,2.70000,
371,HD 188015,b,Radial Velocity,1,461.20000000,1.203000,,1.50000,1.09
372,HD 189733,b,Radial Velocity,1,2.21857578,0.031420,1.15000,,0.84
373,HD 190360,b,Radial Velocity,2,2915.00000000,4.010000,,1.56000,0.96
374,HD 190360,c,Radial Velocity,2,17.11100000,0.130400,,0.06000,0.96
375,HD 190647,b,Radial Velocity,1,1038.10000000,2.070000,,1.90000,1.10
376,HD 190984,b,Radial Velocity,1,4885.00000000,5.500000,,3.10000,0.91
377,HD 192263,b,Radial Velocity,1,24.35560000,0.153200,,0.64100,
378,HD 192310,b,Radial Velocity,2,74.72000000,0.320000,,0.05317,0.80
379,HD 192310,c,Radial Velocity,2,525.80000000,1.180000,,0.07551,0.80
380,HD 192699,b,Radial Velocity,1,345.53000000,1.150000,,2.40000,1.68
381,HD 195019,b,Radial Velocity,1,18.20132000,0.138800,,3.69000,1.07
382,HD 196050,b,Radial Velocity,1,1378.00000000,2.540000,,2.90000,1.15
383,HD 196067,b,Radial Velocity,1,3638.00000000,5.020000,,6.90000,1.29
384,HD 196885,b,Radial Velocity,1,1333.00000000,2.370000,,2.58000,1.28
385,HD 197037,b,Radial Velocity,1,1035.70000000,2.070000,,0.79000,
386,HD 19994,b,Radial Velocity,1,466.20000000,1.305000,,1.37000,1.37
387,HD 200964,b,Radial Velocity,2,613.80000000,1.601000,,1.85000,1.44
388,HD 200964,c,Radial Velocity,2,825.00000000,1.950000,,0.89500,1.44
389,HD 202206,b,Radial Velocity,2,255.87000000,0.830000,,17.40000,1.15
390,HD 202206,c,Radial Velocity,2,1383.40000000,2.550000,,2.44000,1.15
391,HD 203030,b,Imaging,1,,487.100000,24.09000,,
392,HD 2039,b,Radial Velocity,1,1120.00000000,2.230000,,6.11000,1.17
393,HD 204313,b,Radial Velocity,2,1920.10000000,3.040000,,3.55000,1.02
394,HD 204313,d,Radial Velocity,2,2831.60000000,3.930000,,1.68000,1.02
395,HD 204941,b,Radial Velocity,1,1733.00000000,2.560000,,0.26600,0.74
396,HD 205739,b,Radial Velocity,1,279.80000000,0.896000,,1.37000,1.22
397,HD 206610,b,Radial Velocity,1,610.00000000,1.680000,,2.20000,1.56
398,HD 20782,b,Radial Velocity,1,577.90000000,1.359000,,0.73000,1.00
399,HD 207832,b,Radial Velocity,2,161.97000000,0.570000,,0.56000,0.94
400,HD 207832,c,Radial Velocity,2,1155.70000000,2.112000,,0.73000,0.94
401,HD 20794,b,Radial Velocity,3,18.31500000,0.120700,,0.00850,0.70
402,HD 20794,c,Radial Velocity,3,40.11400000,0.203600,,0.00755,0.70
403,HD 20794,d,Radial Velocity,3,90.30900000,0.349900,,0.01510,0.70
404,HD 208487,b,Radial Velocity,1,130.08000000,0.524000,,0.52000,1.13
405,HD 208527,b,Radial Velocity,1,875.50000000,2.100000,,9.90000,1.60
406,HD 20868,b,Radial Velocity,1,380.85000000,0.947000,,1.99000,0.78
407,HD 209458,b,Radial Velocity,1,3.52474859,0.047470,0.71400,,1.15
408,HD 210277,b,Radial Velocity,1,442.19000000,1.138000,,1.29000,1.01
409,HD 210702,b,Radial Velocity,1,354.80000000,1.200000,,1.90000,1.68
410,HD 212301,b,Radial Velocity,1,2.24571500,0.036000,,0.45000,1.27
411,HD 212771,b,Radial Velocity,1,373.30000000,1.220000,,2.30000,1.15
412,HD 213240,b,Radial Velocity,1,951.00000000,2.030000,,4.50000,
413,HD 215497,b,Radial Velocity,2,3.93404000,0.047000,,0.02000,0.87
414,HD 215497,c,Radial Velocity,2,567.94000000,1.282000,,0.33000,0.87
415,HD 216435,b,Radial Velocity,1,1311.00000000,2.560000,,1.26000,1.30
416,HD 216437,b,Radial Velocity,1,1256.00000000,2.320000,,1.82000,1.15
417,HD 216536,b,Radial Velocity,1,148.60000000,0.609000,,1.47000,1.36
418,HD 216770,b,Radial Velocity,1,118.45000000,0.460000,,0.65000,0.90
419,HD 217107,b,Radial Velocity,2,7.12681600,0.074800,,1.39000,1.02
420,HD 217107,c,Radial Velocity,2,4270.00000000,5.320000,,2.60000,1.02
421,HD 217786,b,Radial Velocity,1,1319.00000000,2.380000,,13.00000,
422,HD 218566,b,Radial Velocity,1,225.70000000,0.687300,,0.21000,0.85
423,HD 219077,b,Radial Velocity,1,5501.00000000,6.220000,,10.39000,1.05
424,HD 219134,b,Radial Velocity,4,3.09370000,0.038200,,0.01403,0.78
425,HD 219134,c,Radial Velocity,4,6.76500000,0.064000,,0.00840,0.78
426,HD 219134,d,Radial Velocity,4,46.78000000,0.234000,,0.02728,0.78
427,HD 219134,e,Radial Velocity,4,1190.00000000,2.140000,,0.19507,0.78
428,HD 219415,b,Radial Velocity,1,2093.30000000,3.200000,,1.00000,1.00
429,HD 219828,b,Radial Velocity,1,3.83350000,,,0.06000,
430,HD 220074,b,Radial Velocity,1,672.10000000,1.600000,,11.10000,1.20
431,HD 220689,b,Radial Velocity,1,2209.00000000,3.360000,,1.06000,1.04
432,HD 220773,b,Radial Velocity,1,3724.70000000,4.940000,,1.45000,
433,HD 221287,b,Radial Velocity,1,456.10000000,1.250000,,3.09000,1.25
434,HD 222155,b,Radial Velocity,1,3999.00000000,5.100000,,1.90000,1.13
435,HD 222582,b,Radial Velocity,1,572.38000000,1.347000,,7.75000,0.99
436,HD 224693,b,Radial Velocity,1,26.73000000,0.192000,,0.71000,1.33
437,HD 22781,b,Radial Velocity,1,528.07000000,1.167000,,13.65000,
438,HD 23079,b,Radial Velocity,1,730.60000000,1.596000,,2.45000,
439,HD 23127,b,Radial Velocity,1,1214.00000000,2.400000,,1.50000,1.13
440,HD 231701,b,Radial Velocity,1,141.60000000,0.530000,,1.08000,1.14
441,HD 233604,b,Radial Velocity,1,192.00000000,0.747000,,6.57500,1.50
442,HD 23596,b,Radial Velocity,1,1561.00000000,2.772000,,7.71000,
443,HD 240210,b,Radial Velocity,1,501.75000000,1.160000,,5.21000,0.82
444,HD 240237,b,Radial Velocity,1,745.70000000,1.900000,,5.30000,1.69
445,HD 24040,b,Radial Velocity,1,3668.00000000,4.920000,,4.01000,1.18
446,HD 25171,b,Radial Velocity,1,1845.00000000,3.020000,,0.95000,
447,HD 2638,b,Radial Velocity,1,3.44420000,0.044000,,0.48000,0.93
448,HD 27442,b,Radial Velocity,1,428.10000000,1.271000,,1.56000,
449,HD 27631,b,Radial Velocity,1,2208.00000000,3.250000,,1.45000,0.94
450,HD 27894,b,Radial Velocity,1,17.99040000,0.125000,,0.64500,0.80
451,HD 28185,b,Radial Velocity,1,385.90000000,1.032000,,5.59000,
452,HD 28254,b,Radial Velocity,1,1116.00000000,2.150000,,1.16000,1.06
453,HD 285507,b,Radial Velocity,1,6.08810000,,,0.91700,0.73
454,HD 285968,b,Radial Velocity,1,8.78360000,0.066000,,0.02600,0.45
455,HD 28678,b,Radial Velocity,1,387.10000000,1.250000,,1.70000,
456,HD 290327,b,Radial Velocity,1,2443.00000000,3.430000,,2.54000,0.90
457,HD 2952,b,Radial Velocity,1,311.60000000,1.200000,,1.60000,2.54
458,HD 30177,b,Radial Velocity,1,2770.00000000,3.950000,,10.45000,1.01
459,HD 30562,b,Radial Velocity,1,1159.20000000,2.315000,,1.37300,1.23
460,HD 30669,b,Radial Velocity,1,1684.00000000,2.690000,,0.47000,0.92
461,HD 30856,b,Radial Velocity,1,912.00000000,1.800000,,1.80000,
462,HD 31253,b,Radial Velocity,1,466.00000000,1.260000,,0.50000,1.23
463,HD 32518,b,Radial Velocity,1,157.54000000,0.590000,,3.04000,1.13
464,HD 330075,b,Radial Velocity,1,3.38773000,0.039000,,0.62000,0.70
465,HD 33142,b,Radial Velocity,1,326.60000000,1.060000,,1.30000,
466,HD 33283,b,Radial Velocity,1,18.17900000,0.145000,,0.33000,1.24
467,HD 33564,b,Radial Velocity,1,388.00000000,1.100000,,9.10000,
468,HD 34445,b,Radial Velocity,1,1049.00000000,2.070000,,0.79000,1.07
469,HD 3651,b,Radial Velocity,1,62.21800000,0.295000,,0.22900,
470,HD 37124,b,Radial Velocity,3,154.46000000,0.530000,,0.61000,
471,HD 37124,c,Radial Velocity,3,843.60000000,1.640000,,0.60000,
472,HD 37124,d,Radial Velocity,3,2295.00000000,3.190000,,0.66000,
473,HD 37605,b,Radial Velocity,2,55.01307000,0.283100,,2.80200,1.00
474,HD 37605,c,Radial Velocity,2,2720.00000000,3.814000,,3.36600,1.00
475,HD 38283,b,Radial Velocity,1,363.20000000,1.020000,,0.34000,1.08
476,HD 38529,b,Radial Velocity,2,14.30980000,0.131000,,0.83900,
477,HD 38529,c,Radial Velocity,2,2140.20000000,3.712000,,13.38000,
478,HD 38801,b,Radial Velocity,1,696.30000000,1.700000,,10.70000,1.36
479,HD 39091,b,Radial Velocity,1,2151.00000000,3.380000,,10.27000,
480,HD 40307,b,Radial Velocity,6,4.31230000,0.046800,,0.01260,0.77
481,HD 40307,c,Radial Velocity,6,9.61840000,0.079900,,0.02080,0.77
482,HD 40307,d,Radial Velocity,6,20.43200000,0.132100,,0.02990,0.77
483,HD 40307,e,Radial Velocity,6,34.62000000,0.188600,,0.01100,0.77
484,HD 40307,f,Radial Velocity,6,51.76000000,0.247000,,0.01640,0.77
485,HD 40307,g,Radial Velocity,6,197.80000000,0.600000,,0.02230,0.77
486,HD 40979,b,Radial Velocity,1,264.15000000,0.846000,,4.01000,
487,HD 41004 A,b,Radial Velocity,1,963.00000000,,,2.54000,0.70
488,HD 41004 B,b,Radial Velocity,1,1.32830000,,,18.37000,0.40
489,HD 4113,b,Radial Velocity,1,526.62000000,1.280000,,1.56000,0.99
490,HD 4203,b,Radial Velocity,2,437.05000000,1.173500,,1.82000,1.13
491,HD 4203,c,Radial Velocity,2,6700.00000000,6.950000,,2.17000,1.13
492,HD 4208,b,Radial Velocity,1,828.00000000,1.650000,,0.80400,
493,HD 4308,b,Radial Velocity,1,15.56000000,0.115000,,0.04420,0.83
494,HD 4313,b,Radial Velocity,1,356.00000000,1.190000,,2.30000,1.72
495,HD 43197,b,Radial Velocity,1,327.80000000,0.920000,,0.60000,0.96
496,HD 43691,b,Radial Velocity,1,36.96000000,0.240000,,2.49000,1.38
497,HD 44219,b,Radial Velocity,1,472.30000000,1.190000,,0.58000,1.00
498,HD 45350,b,Radial Velocity,1,963.60000000,1.920000,,1.79000,1.02
499,HD 45364,b,Radial Velocity,2,226.93000000,0.681300,,0.18720,
500,HD 45364,c,Radial Velocity,2,342.85000000,0.897200,,0.65790,
501,HD 45652,b,Radial Velocity,1,43.60000000,0.230000,,0.47000,0.83
502,HD 46375,b,Radial Velocity,1,3.02357300,0.039800,,0.22600,0.92
503,HD 47186,b,Radial Velocity,2,4.08450000,0.050000,,0.07167,0.99
504,HD 47186,c,Radial Velocity,2,1353.60000000,2.395000,,0.35061,0.99
505,HD 4732,b,Radial Velocity,2,360.20000000,1.190000,,2.37000,1.74
506,HD 4732,c,Radial Velocity,2,2732.00000000,4.600000,,2.37000,1.74
507,HD 47536,b,Radial Velocity,1,712.13000000,1.930000,,7.32000,0.91
508,HD 48265,b,Radial Velocity,1,762.00000000,1.600000,,1.20000,1.22
509,HD 49674,b,Radial Velocity,1,4.94737000,0.058000,,0.10500,
510,HD 50499,b,Radial Velocity,1,2482.70000000,3.860000,,1.71000,1.24
511,HD 50554,b,Radial Velocity,1,1293.00000000,2.353000,,4.95400,1.04
512,HD 52265,b,Radial Velocity,1,119.60000000,0.500000,,1.05000,1.18
513,HD 5319,b,Radial Velocity,2,641.00000000,1.669700,,1.76000,1.51
514,HD 5319,c,Radial Velocity,2,886.00000000,2.071000,,1.15000,1.51
515,HD 5608,b,Radial Velocity,1,792.60000000,1.900000,,1.40000,1.55
516,HD 564,b,Radial Velocity,1,492.30000000,1.200000,,0.33000,0.96
517,HD 5891,b,Radial Velocity,1,177.11000000,0.760000,,7.60000,
518,HD 60532,b,Radial Velocity,2,201.30000000,0.759000,,1.03000,1.44
519,HD 60532,c,Radial Velocity,2,604.00000000,1.580000,,2.46000,1.44
520,HD 62509,b,Radial Velocity,1,589.64000000,1.640000,,2.30000,2.10
521,HD 63454,b,Radial Velocity,1,2.81804900,0.036800,,0.39800,0.84
522,HD 63765,b,Radial Velocity,1,358.00000000,0.940000,,0.64000,
523,HD 6434,b,Radial Velocity,1,21.99800000,0.140000,,0.39000,0.79
524,HD 65216,b,Radial Velocity,2,572.40000000,1.300000,,1.26000,0.92
525,HD 65216,c,Radial Velocity,2,152.60000000,0.540000,,0.17000,0.92
526,HD 66141,b,Radial Velocity,1,480.50000000,1.200000,,6.00000,1.10
527,HD 66428,b,Radial Velocity,1,1973.00000000,3.180000,,2.82000,1.10
528,HD 67087,b,Radial Velocity,2,352.20000000,1.080000,,3.06000,1.36
529,HD 67087,c,Radial Velocity,2,2374.00000000,3.860000,,4.85000,1.36
530,HD 6718,b,Radial Velocity,1,2496.00000000,3.560000,,1.56000,0.96
531,HD 68988,b,Radial Velocity,1,6.27711000,0.070400,,1.86000,1.18
532,HD 69830,b,Radial Velocity,3,8.66700000,0.078500,,0.03210,0.86
533,HD 69830,c,Radial Velocity,3,31.56000000,0.186000,,0.03710,0.86
534,HD 69830,d,Radial Velocity,3,197.00000000,0.630000,,0.05700,0.86
535,HD 70573,b,Radial Velocity,1,851.80000000,1.760000,,6.10000,1.00
536,HD 70642,b,Radial Velocity,1,2068.00000000,3.230000,,1.97000,1.05
537,HD 7199,b,Radial Velocity,1,615.00000000,1.360000,,0.29000,0.89
538,HD 72659,b,Radial Velocity,1,3383.00000000,4.511000,,3.15000,
539,HD 73256,b,Radial Velocity,1,2.54858000,0.037000,,1.87000,1.05
540,HD 73267,b,Radial Velocity,1,1260.00000000,2.198000,,3.06000,0.89
541,HD 73526,b,Radial Velocity,2,188.90000000,0.650000,,2.25000,
542,HD 73526,c,Radial Velocity,2,379.10000000,1.030000,,2.25000,
543,HD 73534,b,Radial Velocity,1,1770.00000000,3.067000,,1.10300,1.23
544,HD 74156,b,Radial Velocity,2,51.64500000,0.292000,,1.80000,
545,HD 74156,c,Radial Velocity,2,2473.00000000,3.850000,,8.06000,
546,HD 7449,b,Radial Velocity,2,1275.00000000,2.300000,,1.11000,1.05
547,HD 7449,c,Radial Velocity,2,4046.00000000,4.960000,,2.00000,1.05
548,HD 75289,b,Radial Velocity,1,3.50926700,0.048200,,0.46700,1.21
549,HD 75784,b,Radial Velocity,1,341.70000000,1.073000,,1.15000,1.41
550,HD 75898,b,Radial Velocity,1,418.20000000,1.190000,,2.51000,1.28
551,HD 76700,b,Radial Velocity,1,3.97100000,0.049000,,0.19700,
552,HD 77338,b,Radial Velocity,1,5.73610000,0.061400,0.05000,,0.93
553,HD 7924,b,Radial Velocity,3,5.39792000,0.056640,,0.02731,0.83
554,HD 7924,c,Radial Velocity,3,15.29900000,0.113400,,0.02473,0.83
555,HD 7924,d,Radial Velocity,3,24.45100000,0.155100,,0.02026,0.83
556,HD 79498,b,Radial Velocity,1,1966.10000000,3.130000,,1.34000,
557,HD 80606,b,Radial Velocity,1,111.43570000,0.449000,3.94000,,0.97
558,HD 81040,b,Radial Velocity,1,1001.70000000,1.940000,,6.86000,0.96
559,HD 81688,b,Radial Velocity,1,184.02000000,0.810000,,2.70000,2.10
560,HD 82886,b,Radial Velocity,1,705.00000000,1.650000,,1.30000,
561,HD 82943,b,Radial Velocity,2,441.47000000,1.183060,1.68100,,1.20
562,HD 82943,c,Radial Velocity,2,220.07800000,0.743450,1.95900,,1.20
563,HD 83443,b,Radial Velocity,1,2.98569800,0.040600,,0.39800,0.90
564,HD 8535,b,Radial Velocity,1,1313.00000000,2.450000,,0.68000,1.13
565,HD 85390,b,Radial Velocity,1,788.00000000,1.520000,,0.13200,0.76
566,HD 85512,b,Radial Velocity,1,58.43000000,0.260000,,0.01133,0.69
567,HD 8574,b,Radial Velocity,1,227.00000000,0.757000,,1.80000,
568,HD 86081,b,Radial Velocity,1,2.13750000,0.035000,,1.50000,1.21
569,HD 86226,b,Radial Velocity,1,1695.00000000,2.840000,,0.92000,1.06
570,HD 86264,b,Radial Velocity,1,1475.00000000,2.860000,,7.00000,
571,HD 8673,b,Radial Velocity,1,1634.00000000,3.020000,,14.20000,
572,HD 87883,b,Radial Velocity,1,2754.00000000,3.600000,,1.78000,
573,HD 88133,b,Radial Velocity,1,3.41587000,0.047200,,0.29900,1.20
574,HD 89307,b,Radial Velocity,1,2157.00000000,3.270000,,1.78000,
575,HD 89744,b,Radial Velocity,1,256.78000000,0.918000,,8.44000,
576,HD 90156,b,Radial Velocity,1,49.77000000,0.250000,,0.05700,0.84
577,HD 92788,b,Radial Velocity,1,325.00000000,0.960000,,3.58000,1.10
578,HD 93083,b,Radial Velocity,1,143.58000000,0.477000,,0.37000,
579,HD 9446,b,Radial Velocity,2,30.05200000,0.189000,,0.70000,
580,HD 9446,c,Radial Velocity,2,192.90000000,0.654000,,1.82000,
581,HD 95086,b,Imaging,1,,55.700000,5.00000,,1.60
582,HD 95089,b,Radial Velocity,1,507.00000000,1.510000,,1.20000,1.58
583,HD 95127,b,Radial Velocity,1,482.00000000,1.280000,,5.01000,1.20
584,HD 96063,b,Radial Velocity,1,361.10000000,0.990000,,0.90000,
585,HD 96127,b,Radial Velocity,1,647.30000000,1.400000,,4.00000,0.91
586,HD 96167,b,Radial Velocity,1,498.90000000,1.300000,,0.68000,1.31
587,HD 97658,b,Radial Velocity,1,9.49030000,0.080000,0.02400,,0.77
588,HD 98219,b,Radial Velocity,1,436.90000000,1.230000,,1.80000,
589,HD 98649,b,Radial Velocity,1,4951.00000000,5.600000,,6.80000,1.00
590,HD 99109,b,Radial Velocity,1,439.30000000,1.105000,,0.50200,0.93
591,HD 99492,b,Radial Velocity,2,17.05400000,0.121860,,0.08700,0.83
592,HD 99492,c,Radial Velocity,2,4970.00000000,5.400000,,0.36000,0.83
593,HD 99706,b,Radial Velocity,1,868.00000000,2.140000,,1.40000,
594,HIP 105854,b,Radial Velocity,1,184.20000000,0.810000,,8.20000,2.10
595,HIP 107773,b,Radial Velocity,1,144.30000000,0.720000,,1.98000,2.42
596,HIP 116454,b,Transit,1,9.12050000,0.090600,0.03700,,0.78
597,HIP 12961,b,Radial Velocity,1,57.43500000,0.250000,,0.35000,
598,HIP 14810,b,Radial Velocity,3,6.67385500,0.069200,,3.88000,0.99
599,HIP 14810,c,Radial Velocity,3,147.73000000,0.545000,,1.28000,0.99
600,HIP 14810,d,Radial Velocity,3,952.00000000,1.890000,,0.57000,0.99
601,HIP 5158,b,Radial Velocity,2,345.72000000,0.890000,,1.42000,0.78
602,HIP 5158,c,Radial Velocity,2,9017.76000000,7.700000,,15.04000,0.78
603,HIP 57050,b,Radial Velocity,1,41.39700000,0.163506,,0.29800,
604,HIP 57274,b,Radial Velocity,3,8.13520000,0.070000,,0.03650,
605,HIP 57274,c,Radial Velocity,3,32.03000000,0.178000,,0.40902,
606,HIP 57274,d,Radial Velocity,3,431.70000000,1.010000,,0.52670,
607,HIP 63242,b,Radial Velocity,1,124.60000000,0.565000,,9.18000,1.54
608,HIP 65891,b,Radial Velocity,1,1084.50000000,2.810000,,6.00000,2.50
609,HIP 67851,b,Radial Velocity,2,88.90000000,0.460000,,1.38000,1.63
610,HIP 67851,c,Radial Velocity,2,2131.80000000,3.820000,,5.98000,1.63
611,HIP 70849,b,Radial Velocity,1,17337.50000000,20.250000,,9.00000,
612,HIP 75458,b,Radial Velocity,1,511.09800000,1.275000,,8.82000,1.05
613,HIP 78530,b,Imaging,1,,740.000000,23.00000,,2.50
614,HIP 79431,b,Radial Velocity,1,111.70000000,0.360000,,2.10000,
615,HIP 91258,b,Radial Velocity,1,5.05050000,0.057000,,1.06800,0.95
616,HIP 97233,b,Radial Velocity,1,1058.80000000,2.550000,,20.00000,1.93
617,HN Peg,b,Imaging,1,,773.000000,21.99870,,
618,HR 810,b,Radial Velocity,1,312.00000000,0.910000,,2.13000,
619,HR 8799,b,Imaging,4,170000.00000000,68.000000,7.00000,,
620,HR 8799,c,Imaging,4,69000.00000000,38.000000,10.00000,,
621,HR 8799,d,Imaging,4,37000.00000000,24.000000,10.00000,,
622,HR 8799,e,Imaging,4,18000.00000000,14.500000,,,
623,K2-10,b,Transit,1,19.30691000,0.137400,,,0.94
624,K2-11,b,Transit,1,39.93767000,0.225700,,,1.35
625,K2-12,b,Transit,1,8.28212000,0.080200,,,1.01
626,K2-13,b,Transit,1,39.91488000,0.211400,,,0.80
627,K2-14,b,Transit,1,8.36802000,0.062700,,,0.47
628,K2-15,b,Transit,1,11.81040000,0.091000,,,0.72
629,K2-16,b,Transit,2,7.62067000,0.066200,,,0.67
630,K2-16,c,Transit,2,19.07536000,0.122000,,,0.67
631,K2-17,b,Transit,1,17.96753000,0.119000,,,0.71
632,K2-18,b,Transit,1,32.94488000,0.149100,,,0.41
633,K2-19,b,Transit,2,7.91943000,0.073500,,,0.84
634,K2-19,c,Transit,2,11.90691000,0.096500,,,0.84
635,K2-21,b,Transit,2,9.32414000,0.073100,,,0.64
636,K2-21,c,Transit,2,15.50120000,0.102600,,,0.64
637,K2-3,b,Transit,3,10.05403000,0.076900,,,0.60
638,K2-3,c,Transit,3,24.64540000,0.139900,,,0.60
639,K2-3,d,Transit,3,44.56310000,0.207600,,,0.60
640,K2-4,b,Transit,1,10.00329000,0.077700,,,0.63
641,K2-5,b,Transit,2,5.73491000,0.050900,,,0.53
642,K2-5,c,Transit,2,10.93406000,0.078300,,,0.53
643,K2-6,b,Transit,1,30.94191000,0.189800,,,0.97
644,K2-7,b,Transit,1,28.67992000,0.181400,,,0.97
645,K2-8,b,Transit,1,10.35176000,0.085600,,,0.79
646,K2-9,b,Transit,1,18.44883000,0.084800,,,0.24
647,KELT-1,b,Transit,1,1.21751400,0.024660,27.23000,,1.32
648,KELT-2 A,b,Transit,1,4.11379120,0.054960,1.52200,,1.31
649,KELT-3,b,Transit,1,2.70339040,0.041220,1.47700,1.47000,1.28
650,KELT-6,b,Transit,2,7.84558210,0.080000,,0.44200,1.13
651,KELT-6,c,Radial Velocity,2,1276.00000000,2.390000,,3.71000,1.13
652,KELT-7,b,Transit,1,2.73477490,0.044150,1.28000,1.28000,1.53
653,KELT-8,b,Transit,1,3.24406000,0.045710,0.86700,,1.21
654,KIC 10001893,b,Orbital Brightness Modulation,3,0.21970000,,,,
655,KIC 10001893,c,Orbital Brightness Modulation,3,0.32528000,,,,
656,KIC 10001893,d,Orbital Brightness Modulation,3,0.81161000,,,,
657,KOI-12,b,Transit,1,17.85523330,0.151000,10.00000,,1.45
658,KOI-13,b,Transit,1,1.76358770,0.037000,,,
659,KOI-142,b,Transit,2,10.95416000,,0.02700,,0.96
660,KOI-142,c,Transit Timing Variations,2,22.33950000,0.155250,0.62600,,0.96
661,KOI-217,b,Transit,1,3.90512000,0.047700,,,0.95
662,KOI-351,b,Transit,7,7.00815100,0.074000,,,1.20
663,KOI-351,c,Transit,7,8.71937500,0.089000,,,1.20
664,KOI-351,d,Transit,7,59.73667000,0.320000,,,1.20
665,KOI-351,e,Transit,7,91.93913000,0.420000,,,1.20
666,KOI-351,f,Transit,7,124.91440000,0.480000,,,1.20
667,KOI-351,g,Transit,7,210.60697000,0.710000,,,1.20
668,KOI-351,h,Transit,7,331.60059000,1.010000,,,1.20
669,KOI-55,b,Orbital Brightness Modulation,2,0.24010400,0.006000,0.00140,,0.50
670,KOI-55,c,Orbital Brightness Modulation,2,0.34288700,0.007600,0.00210,,0.50
671,KOI-94,b,Transit,4,3.74320800,0.051190,0.03300,,1.28
672,KOI-94,c,Transit,4,10.42364800,0.101300,0.04900,,1.28
673,KOI-94,d,Transit,4,22.34298900,0.168400,0.33400,,1.28
674,KOI-94,e,Transit,4,54.32031000,0.304600,0.11000,,1.28
675,Kapteyn,c,Radial Velocity,1,121.54000000,0.311000,,0.02200,0.28
676,Kepler-10,b,Transit,2,0.83749070,0.016850,0.01000,,0.91
677,Kepler-10,c,Transit,2,45.29430100,,0.05400,,0.91
